8 8
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.00 0.00 0.00
0.00 0.00 0.00
0.37 0.37 0.37
0.37 0.37 0.37
0.37 0.37 0.37
0.37 0.37 0.37
0.37 0.37 0.37
0.37 0.37 0.37
0.00 0.00 0.00
0.00 0.00 0.00
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.43 0.43 0.43
0.00 0.00 0.00
0.00 0.00 0.00
0.57 0.57 0.57
0.57 0.57 0.57
0.57 0.57 0.57
0.57 0.57 0.57
0.57 0.57 0.57
0.57 0.57 0.57
0.00 0.00 0.00
0.00 0.00 0.00
0.50 0.50 0.50
0.50 0.50 0.50
0.50 0.50 0.50
0.50 0.50 0.50
0.50 0.50 0.50
0.50 0.50 0.50
0.00 0.00 0.00
0.00 0.00 0.00
0.30 0.30 0.30
0.30 0.30 0.30
0.30 0.30 0.30
0.30 0.30 0.30
0.30 0.30 0.30
0.30 0.30 0.30
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
0.00 0.00 0.00
